respondent,code
TÃ¼rkiye,TUR
Turkey,TUR
Ukraine,UKR
Romania,ROU
France,FRA
Italy,ITA
Czech Republic,CZE
Russia,RUS
Portugal,PRT
Belgium,BEL
United Kingdom,GBR
Germany,DEU
Greece,GRC
Cyprus,CYP
Finland,FIN
Bosnia and Herzegovina,BIH
Poland,POL
Republic of Moldova,MDA
Sweden,SWE
Switzerland,CHE
Luxembourg,LUX
Slovenia,SVN
Netherlands,NLD
Bulgaria,BGR
Spain,ESP
Lithuania,LTU
Croatia,HRV
Latvia,LVA
Norway,NOR
Austria,AUT
Georgia,GEO
Malta,MLT
Andorra,AND
Hungary,HUN
Ireland,IRL
Serbia,SRB
Iceland,ISL
San Marino,SMR
Monaco,MCO
Denmark,DNK
Liechtenstein,LIE
Slovakia,SVK
Estonia,EST
Armenia,ARM
Azerbaijan,AZE
North Macedonia,MKD
Albania,ALB
Montenegro,MNE
